,idaviso,ciudad,provincia,precio,tipodeoperacion,tipodepropiedad,habitaciones,metrostotales,iscurrent
0,21233185,Belgrano,Capital Federal,28000,Alquiler,Apartamento,0.0,30.0,0
1,21814536,Caballito,Capital Federal,40000,Alquiler,Apartamento,1.0,45.0,1
2,23173546,Caballito,Capital Federal,38000,Alquiler,Apartamento,1.0,40.0,0
3,25828679,La Paternal,Capital Federal,52000,Alquiler,Apartamento,2.0,62.0,0
4,28014981,Villa Urquiza,Capital Federal,37000,Alquiler,Apartamento,1.0,38.0,0
5,28264466,Palermo,Capital Federal,600,Alquiler temporal,Apartamento,1.0,50.0,1
6,28818844,Palermo,Capital Federal,65000,Alquiler temporal,Apartamento,1.0,40.0,1
7,29116481,Caballito,Capital Federal,49900,Venta,Apartamento,1.0,35.0,1
8,29351374,Pilar,GBA Norte,187000,Venta,Casa,4.0,1220.0,1
9,29715704,Flores,Capital Federal,30000,Alquiler,Apartamento,0.0,42.0,0
10,32097070,Estados Unidos,Otros Paises,99000,Venta,Casa,2.0,122.0,1
11,33389245,Flores,Capital Federal,45000,Alquiler,Apartamento,2.0,50.0,0
12,40122354,Caballito,Capital Federal,40000,Alquiler,Apartamento,1.0,38.0,1
13,41424112,Rosario,Santa Fe,25000,Alquiler,Apartamento,0.0,25.0,0
14,41599473,Recoleta,Capital Federal,55000,Alquiler,Apartamento,1.0,49.0,0
15,41623102,Palermo,Capital Federal,130000,Alquiler,PH,2.0,90.0,1
16,41645564,Recoleta,Capital Federal,30000,Alquiler,Apartamento,0.0,19.0,1
17,41934522,Avellaneda,GBA Sur,35000,Alquiler,PH,1.0,46.0,1
18,42000915,Villa Urquiza,Capital Federal,35000,Alquiler,Apartamento,1.0,39.0,1
19,42068346,Almagro,Capital Federal,54000,Alquiler,Apartamento,2.0,60.0,1
20,42069812,Palermo,Capital Federal,80000,Alquiler temporal,Apartamento,1.0,45.0,1
21,42207734,Balvanera,Capital Federal,42500,Alquiler,Apartamento,1.0,40.0,0
22,42221081,Belgrano,Capital Federal,45000,Alquiler,Apartamento,0.0,28.0,1
23,42221634,Villa Urquiza,Capital Federal,40000,Alquiler,Apartamento,0.0,34.0,1
24,42382133,Escobar,GBA Norte,220000,Venta,Casa,3.0,660.0,1
25,42405776,Rosario,Santa Fe,28000,Alquiler,Apartamento,0.0,38.0,1
26,42424136,Villa Crespo,Capital Federal,40000,Alquiler,Apartamento,0.0,38.0,0
27,42444934,Villa Ortuzar,Capital Federal,50000,Alquiler,Apartamento,1.0,44.0,1
28,42721358,Boedo,Capital Federal,65000,Alquiler,PH,1.0,55.0,1
29,42749824,Barrio Norte,Capital Federal,95000,Alquiler,Apartamento,3.0,104.0,1
30,42762137,Belgrano,Capital Federal,46000,Alquiler,Apartamento,1.0,45.0,1
31,43075036,San Isidro,GBA Norte,40000,Alquiler,PH,2.0,70.0,1
32,43090474,Liniers,Capital Federal,62000,Alquiler,PH,2.0,76.0,1
