,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Abasto,-1.1317811,0.28524816,0.4959441,-0.81592226,1.2653192,-0.864236,-0.67921054,1.4315912,-0.016019221,0.48213238,1.3050061,-0.7770139,-1.7854863,0.7450746,0.7669323,-0.20877664,0.50981724,0.079589784,-1.3416992,1.6556709,-0.27972236,-2.054089,-0.13050023,1.0450085,1.8183242,2.3211844,1.9970524,3.7326062,-2.0396194,-1.8043525,0.67470306,0.62039334,-1.0163753,-0.6665819,-2.8079205,0.10854746,-0.7035834,2.1793535,-1.8748862,0.8809844,-1.6292248,-1.4710764,0.317914,-1.2538557,-1.14512,-0.23797348,-1.1548837,2.4978607,-0.7479097,-0.65516275,-0.5868404,1.0419887,0.492388,-0.19598274,-2.144127,1.169276,-0.92096233,-2.20102,-0.7095377,0.5044872,-0.46987954,-1.5918629,-1.1158503,2.0748546,-1.9147145,0.9816477,0.28448442,0.5317579,-0.5365924,0.6051242,-1.404369,0.08317698,-0.25368962,-1.1617203,0.50032437,2.008381,1.804847,-0.2923775,1.2038572,0.8933564,-1.4095044,-1.1040448,-0.1814387,2.087517,0.60426235,0.40198016,0.08784563,1.9769813,-1.6847737,0.094678864,-0.52185595,0.18599151,0.70385253,-2.0289083,0.13200521,-0.18064323,1.0108562,-0.9587317,2.3911932,-1.072337
Agronomía,-0.10955072,-0.41970193,-2.5865934,-0.52114516,0.9048604,0.36442673,0.40665802,-1.01195,-1.1390865,-1.4534395,0.984169,-0.44425428,0.24385834,0.35149437,1.1704166,0.73636913,1.1820941,-1.837769,0.6174949,-0.5851127,-1.0888197,-0.9960387,0.24972469,1.0442742,0.80550635,0.21811111,1.4951311,0.9865179,0.68676406,0.2673791,1.2285,1.6674817,-0.49796626,-0.65959513,-0.28539327,-1.433515,0.7534012,-0.57279193,0.16860992,-1.0332326,-2.281054,1.2237344,-0.8254385,0.75228596,-0.18581446,-0.37147346,-0.77554506,-1.0256764,0.94041157,-1.9822637,-1.094893,-1.4040812,-1.0005406,0.7887438,1.1634386,0.058962394,0.34519804,0.5419974,0.47937152,1.560107,1.8185765,0.11326998,-0.8314965,-0.6439508,-1.30788,1.5697994,0.032384958,0.8114482,1.6202785,0.15748832,1.0701913,-0.4328791,-0.75692517,1.0696235,-0.6762814,-0.009054973,0.42602858,0.1842435,2.2397401,1.463867,-0.25653824,-1.1802149,0.585666,-0.2263777,1.4761635,1.0565948,1.4168957,-0.86389285,-0.88464606,0.91269654,-0.29583004,0.15347248,-0.3297819,-3.0758998,-1.0142573,-1.7800434,-0.01969788,0.2963169,1.014628,0.6680419
Agua de Oro,-2.2775044,-0.8108579,-0.83154947,-0.95615345,-0.13674489,0.0055066887,0.5995437,-1.364777,-0.9818562,2.0837228,-1.688062,0.46857274,0.5874422,2.0907621,0.6464365,0.2688023,-0.86733496,-0.075591736,-0.83073366,0.8524205,-1.1538655,-1.0978088,-0.66159105,-0.14801972,-0.4489431,1.2521089,-1.0240284,0.5758549,-0.6038278,1.6944531,3.5794148,1.350121,-1.2262771,1.5391469,0.25336745,1.3179011,2.934772,-0.09503049,0.475472,1.6481235,1.1352823,0.93327975,2.5990725,1.0087144,1.3154995,0.59319,1.649778,-1.1419487,2.4852781,-0.7760858,-0.049569935,0.7064074,0.31708393,2.5892897,-0.7374755,0.27366182,2.2384176,-0.68834406,0.38774368,-0.8060758,-0.54573095,-0.7111724,0.13819656,-1.472286,1.1479943,1.5914243,0.7356566,1.6227609,-0.45524314,1.3012556,-0.73374844,-0.26916495,2.0347145,0.7820274,0.9120084,0.28892297,-2.6350572,-0.9807185,-2.3884714,0.4196385,-1.161343,1.0502508,2.4870565,-0.55404955,1.1137792,0.98289096,0.7625341,-2.7230144,-1.9305661,2.4840953,1.8176196,0.50456476,-1.2352463,0.116285756,1.2723486,0.91613287,0.13385393,0.5257666,-0.9679363,-0.3144804
Almagro,0.57809484,0.41703156,1.047579,0.5267969,-0.7876147,-1.8886162,-1.0341413,-0.13091539,0.8791864,-0.33060083,0.30991635,0.48650998,-0.9200609,-0.43336165,-0.23072903,-1.0129746,2.184171,0.00180162,-1.6034565,0.7077629,1.7220315,-1.3131484,-0.1660077,0.80693156,0.8215781,-0.34974137,-1.8576038,2.518557,-0.377667,-1.2319677,0.34368956,0.5249831,-0.43389913,0.7735528,-0.063633345,0.8670704,-0.14481367,0.07615964,-1.9105324,1.3766855,-0.044368442,-0.5685948,-1.4881294,1.2606971,-0.6596124,3.4278495,-1.7203815,0.76667684,-2.212438,0.83995247,-2.8267324,-0.35730124,-0.15023622,-0.2076909,-2.3549976,-0.29640082,0.34181452,-0.75605536,-1.2860068,-1.8244762,1.7855473,-0.418365,-2.3329659,2.2961798,-1.2116971,0.5168472,-0.42586306,-0.45418307,1.0653039,0.19729379,-0.65915364,0.47594866,-0.13348503,-0.117046125,-0.18506306,0.07278633,0.21709418,0.62515724,0.12938616,-2.4446816,-0.71492124,-1.254749,0.17416066,1.9045471,-0.41631886,-0.76664674,2.0119076,-1.5051273,-0.26808774,-0.7920712,0.9069274,1.2034674,-0.7224439,-0.3095218,-0.7877127,-0.17195868,-1.3307993,-0.7969261,1.1070838,-0.8189641
Almirante Brown,-2.3497179,-2.9888766,-2.2128673,-1.4520968,3.369091,0.34991035,-0.44393167,1.1393547,0.16570212,1.9788731,-1.5706826,1.5493056,-1.3916209,0.87462866,0.09663702,-0.18405822,-0.11480729,-1.8854269,-2.50249,-4.6477337,-1.6752993,-2.4726882,-3.3530219,0.11788373,-0.1787764,-0.9485325,2.5672665,1.3887979,2.953238,0.8870177,0.44936273,1.7632447,1.634755,-1.0339669,-1.0835826,2.1196167,-1.4478565,0.37375143,-0.3821009,2.4953597,1.1298641,-0.41166118,0.94578695,2.0795588,0.048216943,-0.550835,-2.5486774,0.56802046,0.24836506,-0.79024655,0.20017771,1.2641413,-0.050980695,0.99030584,-1.937448,-0.2676572,0.38599133,-1.2107351,1.3348311,3.0833938,-1.8655671,-1.1156712,0.32656154,-1.367707,-3.5031528,-0.5744109,-0.9536878,1.0920779,-0.102693416,1.3724128,-2.2695317,-0.093333624,3.0854979,-0.09805742,0.44479516,2.6125007,0.7111748,0.29612878,-0.55932647,2.6634145,0.18128096,2.631517,3.2224844,1.331572,0.38733104,-0.8199755,1.4912733,-1.4131981,1.9121441,1.3211143,0.5556983,3.8239548,0.9224166,-1.1700811,1.6413523,0.5328057,-0.38222632,-1.8981411,3.3836102,1.1994163
Alta Gracia,-2.1694531,0.7203795,0.28385124,-1.492639,1.0806001,1.659048,0.73602706,1.5317724,-0.31734765,-0.7326337,-1.0614966,-0.03928955,1.8894506,0.070608296,-1.9299468,1.7767266,-0.7376312,-0.0063996287,2.9196053,-1.440132,-2.5737622,0.92189425,0.5505849,0.34553698,-1.8001529,1.0220056,1.027188,0.45493743,0.61784214,-1.1150576,0.8794657,1.5389616,0.7139535,1.0729016,-1.7840022,0.6103804,0.20278004,-0.5956748,-0.29254636,-0.32905242,1.3618838,2.1914186,2.2586694,-0.04215232,0.8894065,0.29339257,-1.2890396,-1.4554243,-0.9497487,0.4075668,-1.1444652,2.777131,0.428607,0.64577395,-2.551319,-1.2827818,2.5327728,-0.8554373,-1.0090469,1.3457273,-2.3369546,-0.78955644,-2.1862411,-1.0531684,-1.4550967,0.84885794,-0.4045912,2.3672867,1.9524918,-0.08212328,-0.2381841,-0.544871,1.2232403,-1.5714304,0.841527,-0.18683283,-0.815714,0.3337102,-1.1884301,0.021969741,-0.13835289,-0.30609122,1.9655684,-1.8622687,1.4101844,-0.116194986,0.06940128,-1.4282615,-0.88123477,1.7574129,2.0263252,-0.57282037,1.3152698,1.2318417,1.1117203,1.1604654,1.3256049,-0.32794657,0.5824688,0.4436225
Aluminé,3.2220066,-0.026751505,-0.6233921,1.3150487,-1.6287591,0.4237611,-1.4186538,-0.54282504,0.30326626,3.0801632,0.60514563,1.228216,-0.20889406,-1.0952826,-2.0090313,0.565499,0.5041545,-0.4026906,1.3618025,-0.13299006,-0.016784746,0.64228976,1.9787091,1.2954617,2.5274265,0.24821891,-0.4320772,0.99950343,-0.21211894,1.58473,-1.1779858,-1.7036693,0.626756,3.3990514,-0.16476718,-1.5759383,1.0169752,-1.0885916,-1.5488251,0.6229458,-0.4308689,1.4644712,0.7962213,0.38309476,0.6700066,-2.7763913,1.5728029,0.89749724,0.12028006,-0.13147026,-1.5387771,0.44018713,-0.301523,0.1166852,-0.2327211,-0.89822066,-0.6276444,1.1177412,-0.027543606,-0.82283586,0.097413994,-0.35049134,0.47980446,-1.7655339,-1.6824241,1.2034148,2.0843062,-1.5951915,1.6099671,-0.24234368,-0.1310431,-0.92890495,1.0269904,-0.75765795,-0.042854335,-1.4506041,-1.3955922,-0.007923456,0.08873227,-0.69213927,2.2214592,-0.9551779,1.1756474,-1.9067161,0.8814049,-0.2858889,-1.0034822,0.64098346,1.1085533,-0.4483301,0.67993313,1.3162991,-0.78089345,-1.0059735,0.8702304,-0.11476617,-0.5447839,-1.6087847,-1.6217319,-0.08159451
Alvear,-0.9300621,-3.7518723,-1.8576195,-2.1732197,1.0922638,2.6702557,0.35523552,-1.6251659,-0.5825,3.1850488,0.67316025,-0.70833784,1.8096641,-1.2839682,-0.24818088,1.7246268,1.6876068,-0.21266487,-0.65606534,-1.3801486,1.0232364,-0.41531256,1.0632561,0.5800167,-1.6423333,-1.114046,0.954353,1.391367,0.18753432,-1.5216678,2.1316726,3.3093255,-0.21024033,-2.5800633,-1.8030027,1.6692966,-2.2812424,0.122661024,-3.1429222,3.5580237,0.45680377,-1.7179613,0.08269576,0.44107136,-0.66601795,-1.8004159,-1.7491378,-2.5022047,-1.9009478,-0.19525175,-0.8943475,-0.9190924,0.43799025,-2.1119328,-1.8908913,2.5539773,-1.3900179,-0.66931903,1.9786036,0.32855853,-0.14164695,1.5100448,-0.8035036,1.6809462,1.6670421,-2.395505,-0.55803365,2.4283414,0.52964115,-0.2766611,-0.44139755,-1.4039803,-0.40729675,0.77828366,2.1756504,-0.7579476,-2.4933195,0.40539363,-0.21036778,-1.211628,-2.2839932,1.8611912,0.24863465,-0.45290327,-0.40036556,-2.6984193,-0.6256623,0.31089363,-2.448339,3.067579,0.95340073,-0.3713062,2.294906,-0.7492965,0.56261647,3.0110617,-0.8866492,0.9245045,0.38679266,3.2025445
Anisacate,1.6050951,2.0625553,0.4292286,-0.34789398,-1.8678675,-0.18200518,2.209087,-0.6774044,-2.2501285,0.8180812,-1.470173,1.2613171,3.025084,-0.5856957,-1.843745,-0.47009972,-1.4865706,-1.8921831,0.5762687,0.060680468,-0.83389276,2.4194894,2.0098224,1.1443459,-1.3338166,1.9465153,-2.2070432,1.1149104,3.0195308,-0.4451626,0.88086313,0.98213303,-1.101285,2.1268764,-0.9566957,-0.29128665,1.8564713,-1.505466,1.2912588,0.5713155,0.60696906,3.3128133,0.5870286,0.55006266,0.9411452,-0.45282832,-1.5895663,-0.13938443,1.5512569,-0.19413358,-0.064154305,1.2552292,-0.42468774,0.4865554,-0.04078673,-0.99948674,1.8613822,-0.16817003,-0.7193975,-0.48684648,-1.5052094,-1.3678802,-1.986892,0.8918577,3.2854354,2.1931708,0.8029482,0.55347717,0.59883565,1.8782687,1.2766776,0.5764225,1.4458275,-0.94482,0.804334,-0.1054961,-1.6562746,0.9138991,-0.69649285,-0.6601202,0.7202076,-0.9554456,3.6046607,-0.79001015,-1.091821,-0.5867617,-0.010389064,-1.3416597,0.6446518,0.74133056,1.3833082,3.0212052,-3.0378497,2.0024629,-1.8913162,-0.52171165,1.7430192,-1.2344141,-0.92892563,-0.0128158415
Arrecifes,-1.9407696,1.5586077,0.5045148,0.58098394,-0.47207817,-1.2372752,-1.2791644,-1.5030694,-0.785317,-1.3358312,0.85173637,-0.9750109,0.18563546,0.3564421,0.41353664,0.9092797,0.53947234,1.0796227,0.7619696,-1.0287266,-1.3857411,-1.2626024,-0.12205983,0.097170845,-1.3108692,1.0209035,0.2875522,0.9544745,-3.09949,0.7453655,0.4572915,1.1242052,-0.12189147,-0.08796883,2.8388903,0.24160103,0.105380714,-0.4283926,0.57168776,0.39158985,0.6397613,-1.960557,-2.5476992,1.172792,-1.3264891,-0.15509865,0.6855125,-0.5801911,0.9225923,-1.9560827,1.4724269,-1.5984182,-0.15333474,-0.24940276,-2.0318377,1.1862875,0.24252406,0.7925494,2.1370134,-0.41201416,-3.0890973,-0.22757527,1.3882318,0.032185286,1.681483,-0.94882715,-0.46647808,0.53974944,-0.65612954,1.3893198,-0.44683027,-0.5824559,-0.875634,0.9897895,-1.6690611,0.9049084,-1.6895508,-2.0149133,1.4980154,-0.11380379,-1.0183818,0.6470221,3.1606162,0.7294529,-0.8554685,0.8689441,-0.3243008,0.097109556,0.022906069,-1.4927372,-1.2443422,-0.69494635,-0.9966831,-1.5680722,1.2746067,0.7856911,-1.6479436,-1.6809865,0.90381765,-0.4494056
