,t1,t2,ciudad
0,-39.675354,-11.735577,Abasto
1,-16.296108,2.0778985,Agronomía
2,16.963657,20.07282,Agua de Oro
3,-31.53227,-10.466579,Almagro
4,21.062649,-18.337257,Almirante Brown
5,26.559008,-1.5609946,Alta Gracia
6,6.3068843,16.91594,Aluminé
7,21.7567,-34.176647,Alvear
8,33.248375,21.945747,Anisacate
9,-9.779213,-6.8272467,Arrecifes
10,0.7320093,17.295755,Ascochinga
11,-21.007832,-27.112444,Avellaneda
12,-26.082233,11.575574,Ayacucho
13,11.392725,-18.204056,Añelo
14,35.271873,3.7516415,Bahía Blanca
15,22.584906,24.829098,Balcarce
16,-39.88977,-9.779241,Balvanera
17,-17.384977,-0.5208409,Baradero
18,-41.956642,-4.328641,Barracas
19,3.4630587,-7.7158103,Barranqueras
20,-39.49806,-16.677801,Barrio Norte
21,-21.205538,-9.354107,Belgrano
22,-15.540402,-27.060572,Berazategui
23,18.029959,12.552383,Berisso
24,10.3695965,5.554861,Bialet Massé
25,-34.70166,-6.526896,Boedo
26,7.374148,6.2977104,Bowen
27,5.676437,27.185574,Brandsen
28,-3.5884078,32.412354,Brasil
29,14.62369,19.942427,Cabalango
30,-32.440315,-9.735365,Caballito
31,-1.1409297,6.2602024,Cafayate
32,30.390604,23.613972,Calmayo
33,7.610829,14.077681,Camet
34,-8.962194,-19.060093,Camet Norte
35,11.395756,32.24967,Campana
36,12.809445,13.0141535,Campo Quijano
37,0.7474047,1.6707555,Candelaria
38,-22.695377,-1.8840325,Capilla del Monte
39,-30.41561,10.408561,Capital Federal
40,23.647356,0.48351014,Capitán Bermúdez
41,-29.79217,-7.7980604,Capitán Sarmiento
42,1.9764795,35.16961,Cariló
43,27.424126,10.1903105,Carmen de Areco
44,-0.6071594,26.460808,Carpintería
45,6.5642195,-2.6692114,Carrodilla
46,16.614922,12.177283,Casa Grande
47,-44.477684,-15.41812,Catalinas
48,-13.064494,-0.24593484,Cañada Seca
49,23.159838,-21.23748,Cañuelas
50,16.886679,-34.280804,Centenario
51,-43.036064,-12.8343935,Centro / Microcentro
52,15.721639,-34.002563,Cerrillos
53,-8.760842,15.218906,Cervantes
54,-21.693098,-7.114106,Chacarita
55,12.454995,-24.050653,Chacras de Coria
56,32.988594,-21.739925,Chapadmalal
57,15.219754,-24.017532,Chascomús
58,9.068583,5.6689453,Chile
59,4.4260774,3.931175,Chilecito
60,-10.417472,0.6054318,Cholila
61,-21.890873,-25.086832,Cinco Saltos
62,20.990606,-30.61858,Cipolletti
63,23.605383,-23.764149,Ciudad de Mendoza
64,-37.000114,3.3286817,Ciudadela
65,-19.07903,-6.089237,Coghlan
66,-20.724873,-8.56972,Colegiales
67,16.666756,7.934556,Colonia Caroya
68,36.415947,12.722752,Colonia Tirolesa
69,22.596247,-31.99948,Confluencia
70,-40.91133,-10.589826,Congreso
71,-42.39426,-5.5206327,Constitución
72,-11.591541,-9.312447,Corcovado
73,-0.108859375,-15.512428,Coronel Suárez
74,20.3799,-2.2174633,Cosquín
75,-0.10761227,10.662916,Costa Azul
76,-35.24031,12.929803,Costa Chica
77,-1.0816585,37.508213,Costa Esmeralda
78,-26.45853,18.944176,Costa del Este
79,-14.113278,3.1419508,Cruz de Piedra
80,29.563917,-2.5079372,Cruz del Eje
81,23.5909,14.9945345,Cuesta Blanca
82,3.3143833,29.391336,Cushamen
83,38.32961,18.264214,Córdoba
84,18.782282,8.773804,Dalmacio Vélez Sarsfield
85,2.5362556,12.521426,Despeñaderos
86,2.3264043,-13.515027,Dina Huapi
87,15.94976,-9.323822,Dorrego
88,4.9378605,12.28603,El Algarrobo
89,-5.6923895,11.080766,El Calafate
90,8.856545,17.49198,El Carrizal
91,33.603134,-20.888767,El Challao
92,-16.260342,15.636663,El Plumerillo
93,36.759514,1.9358532,El Volcán
94,4.653971,-0.5206699,Embalse
95,16.475435,30.206812,Ensenada
96,-2.7754862,-4.2214828,Epuyén
97,10.270944,30.264326,Escobar
98,18.194284,15.311474,Esperanza
99,7.339321,18.50547,Esquel
100,-37.739357,-10.104798,Estados Unidos
101,22.448757,8.255133,Estancia Vieja
102,21.9511,-18.418905,Esteban Echeverría
103,7.546166,29.839567,Exaltación de la Cruz
104,21.808912,-20.816357,Ezeiza
105,12.816803,-17.890152,Falda del Carmen
106,-3.2647846,1.4776517,Fighiera
107,-16.53987,-27.918825,Florencio Varela
108,-24.904816,5.4397607,Flores
109,-23.683071,6.320233,Floresta
110,25.489609,-17.90399,Fontana
111,16.990923,-10.61864,Fray Luis Beltrán
112,24.448952,-32.111763,Funes
113,-47.980766,-13.365069,Garupá
114,-4.0945473,-16.946068,General Alvear
115,-37.463806,-17.883392,General Belgrano
116,25.406887,-11.223945,General Fernández Oro
117,8.223904,-18.045988,General Lagos
118,-20.906092,10.851288,General Las Heras
119,-22.49824,-25.622147,General Lavalle
120,-1.1741925,-22.650375,General Madariaga
121,31.086273,15.61316,General Paz
122,-16.859907,-20.106256,General Pueyrredón
123,25.375875,12.653482,General Rodríguez
124,5.748399,24.433825,General San Martín
125,-0.13035189,-6.541729,Gobernador Benegas
126,18.011286,-21.103716,Godoy Cruz
127,15.649754,-27.100359,Granadero Baigorria
128,7.678515,22.92278,Gualeguaychú
129,22.337156,-25.977468,Guaymallén
130,11.505888,-1.3753996,Herrera
131,18.28648,20.020786,Huerta Grande
132,-4.5018263,35.35665,Hurlingham
133,17.957205,-24.333088,Ibarlucea
134,28.880617,-28.494379,Iriondo
135,3.2281632,30.59343,Ituzaingó
136,3.5308163,9.252189,Itá Ibaté
137,39.65875,16.627756,James Craik
138,21.339273,16.449522,Jesús María
139,15.928812,-8.149691,Jesús Nazareno
140,0.77351195,-10.742633,Jocolí
141,19.150814,-2.8703,José C Paz
142,29.313412,23.292522,José de la Quintana
143,6.325131,3.2400892,Juana Koslay
144,-14.459565,-3.2832446,Junin de los Andes
145,-42.983864,-3.4610224,La Boca
146,4.8323097,-28.310947,La Caldera
147,32.143223,5.583115,La Calera
148,-1.0972536,9.508489,La Chimbera
149,15.233331,3.1962306,La Cieneguita
150,25.057463,4.755542,La Cumbre
151,23.573938,12.736124,La Falda
152,2.6529627,21.533125,La Granja
153,2.7772954,-23.264359,La Lucila del Mar
154,-2.6208735,36.431732,La Matanza
155,31.110165,2.9953036,La Paisanita
156,-24.621521,6.825849,La Paternal
157,-9.010055,13.003154,La Paz
158,6.4378185,-37.38714,La Plata
159,11.788688,26.22059,La Punta
160,-0.0753078,-5.6644716,La Silleta
161,-18.72818,-32.672092,Lanús
162,5.41198,9.670983,Las Caleras
163,-5.2043133,4.0219793,Las Calles
164,14.78413,-21.08837,Las Cañas
165,14.199451,10.368279,Las Delicias
166,-5.444542,5.352378,Las Flores
167,-35.527546,0.4692476,Las Gaviotas
168,-15.023993,17.10644,Las Golondrinas
169,-10.148769,-8.21389,Las Grutas
